FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,34.53607941,22.2627697,25.69444084,24.12450981,13.92045021,15.0,25.30611992,12.59259033,22.66666985,23.77622032,9.82456017,20.54264069,13.39031029,15.10297012,,,0.0,2.22221994,,,,,,,
A,Annual,AFG,Afghanistan,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,11.24512005,,,
A,Annual,AGO,Angola,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,11.46953011,,,18.6046505,,,,,,,,,,,,,12.0104599,,,,,,,,
A,Annual,ALB,Albania,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,7.0327301,5.91165018,,6.13225985,,,,,,,,13.78547001,,,,18.14513016,17.72031975,19.35247993,20.62858963,18.82147026,20.11006927,18.54084015,20.81203079,
A,Annual,AND,Andorra,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,34.48276138,45.94594955,37.77777863,34.92063141,38.09524155,,23.80952072,,,,7.31707001,,,2.12766004,5.55556011,3.52940989,13.46154022,13.58024979,19.6261692,7.44680977,28.18181992,
A,Annual,ARE,United Arab Emirates,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,25.68419075,26.21099091,,,21.81908989,21.99403954,27.73270035,,30.98076057,33.14601898,,,
A,Annual,ARG,Argentina,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,13.78744984,12.85223961,12.20761013,14.45357037,13.63010025,13.62162018,,,,,,,16.04743958,15.42269993,14.14630032,15.04236031,,
A,Annual,ARM,Armenia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,16.29907036,,,,,13.29992962,11.26060963,14.72249985,15.16639996,17.14431953,16.64071083,17.71615028,18.39043045,
A,Annual,ASM,American Samoa,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,10.37736034,,,,,,,,,,,,,,,,
A,Annual,ATG,Antigua and Barbuda,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,25.0,9.18918991,14.8148098,4.72441006,,,,,,,,,,,
A,Annual,AUS,Australia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,20.84326935,20.3021698,,22.94787025,22.5710907,,22.17170906,20.31905937,19.08358955,18.34757996,17.27754021,,16.67865944,,17.00458908,17.57164955,17.63768959,,18.42956924,17.39794922,18.63032913,20.54981041,20.67756081,19.14706993,
A,Annual,AUT,Austria,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,31.1736393,30.21138954,30.22236061,30.86039925,30.32530975,28.48385048,28.45259094,30.89188004,29.27169991,30.29507065,,31.03226089,31.39673996,30.57451057,30.5959301,,
A,Annual,AZE,Azerbaijan,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,18.61330032,16.07588959,16.82716942,16.42411995,16.47390938,,,24.08530045,24.21986961,23.61430931,23.52157974,25.90974045,24.15966034,24.16160011,25.29042053,
A,Annual,BDI,Burundi,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,4.46193981,,,12.82495975,,,,,,11.91672993,,,,,,24.28948021,20.63282013,19.67246056,,,,,
A,Annual,BEL,Belgium,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,19.37998962,19.31283951,19.37647057,,,,17.18293953,,16.07127953,16.36945915,16.33023071,16.7282505,16.65111923,17.29079056,17.97488976,17.38282967,17.05458069,16.70148087,16.98965073,17.55337906,17.58300018,18.60499001,,
A,Annual,BEN,Benin,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,13.24118996,,,14.24639034,20.70981979,,,20.91008949,23.96076965,19.65751076,21.75691032,,
A,Annual,BFA,Burkina Faso,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,23.33403969,22.83181953,20.34596062,,15.92790031,15.52604961,14.59436035,15.42148972,19.67860031,20.26460075,20.34581947,20.67567062,25.33753014,
A,Annual,BGD,Bangladesh,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,11.27612019,11.27612019,,11.14589024,11.14585018,,,
A,Annual,BGR,Bulgaria,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,19.00737953,18.29059029,20.58984947,27.60330963,21.31269073,22.04233932,22.01008034,,22.11540985,18.94008064,19.88997078,20.8449707,20.19112015,22.6758194,21.20049095,21.04681969,20.79306984,19.66448021,20.51326942,19.27680016,19.81579018,19.50598907,,,
A,Annual,BHR,Bahrain,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,18.6301403,,19.91205978,17.91044998,,,,,,,,,18.92461967,17.01865005,15.5915699,16.1459198,15.59016991,15.49413013,15.77717018,16.36215973,
A,Annual,BIH,Bosnia and Herzegovina,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,16.97994041,19.70846939,20.31225967,21.21636009,23.52244949,23.32111931,23.96216011,24.51832962,
A,Annual,BLR,Belarus,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,24.9878006,25.72697067,,26.27042961,,,,,,,,33.49279022,33.14884949,33.23204041,33.86251831,34.68387985,35.45761108,34.61437988,31.95085907,
A,Annual,BLZ,Belize,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,18.0105896,,,,,21.39253044,18.39022064,23.59172058,
A,Annual,BMU,Bermuda,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,15.15151978,,,,18.36734962,,22.15568924,,23.74101067,22.10526085,23.95833015,30.97344971,,,23.68420982,,20.43795967,38.02817154,,,,,26.96628952
